"","target.priority","altitude..hundreds.of.feet."
"2134","1",190
"2135","1",160
"2136","1",170
"2137","1",25
"2138","1",162
"2139","1",180
"2142","1",180
"2144","1",18
"2147","1",173
"2148","1",144
"2151","1",240
"2152","1",240
"2153","1",240
"2154","1",240
"2155","1",240
"2156","1",240
"2157","1",234
"2158","1",234
"2159","1",234
"2160","1",232
"2161","1",232
"2162","1",232
"2163","1",230
"2164","1",230
"2165","1",230
"2166","1",230
"2167","1",230
"2168","1",230
"2169","1",230
"2170","1",230
"2171","1",230
"2172","1",230
"2173","1",230
"2174","1",230
"2175","1",230
"2176","1",230
"2177","1",230
"2178","1",227
"2179","1",227
"2180","1",227
"2181","1",215
"2182","1",215
"2183","1",215
"2184","1",214
"2185","1",214
"2186","1",214
"2187","1",210
"2188","1",210
"2189","1",210
"2190","1",210
"2191","1",210
"2192","1",210
"2193","1",200
"2194","1",200
"2195","1",200
"2196","1",200
"2197","1",200
"2198","1",200
"2199","1",200
"2200","1",200
"2201","1",139
"2202","1",139
"2203","1",139
"2204","1",139
"2205","1",139
"2206","1",139
"2207","1",139
"2208","1",139
"2209","1",139
"2210","1",139
"2211","1",139
"2212","1",139
"2213","1",139
"2214","1",139
"2215","4",139
"2216","4",139
"2217","3",139
"2218","3",139
"2219","3",139
"2220","3",139
"2221","3",139
"2222","3",139
"2223","3",139
"2224","3",139
"2225","3",139
"2226","3",139
"2227","3",139
"2228","1",254
"2229","1",254
"2230","1",254
"2231","1",248
"2232","1",248
"2233","1",243
"2234","1",243
"2235","1",243
"2236","1",241
"2237","1",241
"2238","1",241
"2239","1",240
"2240","1",240
"2241","1",239
"2242","1",239
"2243","1",239
"2244","1",237
"2245","1",237
"2246","1",236
"2247","1",236
"2248","1",236
"2249","1",233
"2250","1",233
"2251","1",233
"2252","1",230
"2253","1",230
"2254","1",230
"2255","1",230
"2256","1",230
"2257","1",225
"2258","1",225
"2259","1",225
"2260","1",225
"2261","1",220
"2262","1",220
"2263","1",220
"2264","1",220
"2265","1",220
"2266","1",220
"2267","1",220
"2268","1",220
"2269","1",220
"2270","1",220
"2271","1",216
"2272","1",216
"2273","1",215
"2274","1",215
"2275","1",200
"2276","1",200
"2309","1",175
"2323","2",210
"2324","2",210
"2325","1",115
"2326","1",115
"2327","1",114
"2328","1",114
"2329","1",105
"2330","1",105
"2331","1",100
"2332","1",100
"2333","1",139
"2334","1",139
"2335","1",139
"2336","1",139
"2337","1",139
"2338","1",139
"2339","1",1
"2340","2",1
"2341","1",1
"2342","2",1
"2343","2",1
"2344","2",90
"2345","1",50
"2346","1",20
"2347","1",15
"2348","1",15
"2349","1",15
"2350","1",15
"2351","1",1
"2352","2",280
"2353","2",280
"2354","1",130
"2355","1",110
"2356","1",110
"2357","1",110
"2358","1",100
"2359","1",1
"2360","1",1
"2361","1",1
"2362","1",1
"2363","1",1
"2364","1",1
"2365","1",105
"2366","1",100
"2367","1",85
"2368","1",104
"2369","1",110
"2370","1",110
"2371","1",1
"2372","1",1
"2373","1",1
"2374","1",1
"2375","1",1
"2376","1",1
"2377","1",1
"2378","1",110
"2379","1",50
"2380","1",80
"2381","1",20
"2382","2",134
"2383","1",139
"2384","1",85
"2385","1",1
"2386","1",1
"2387","3",125
"2388","2",80
"2389","1",20
"2390","1",15
"2391","1",15
"2392","1",15
"2393","1",20
"2394","1",20
"2395","1",20
"2396","1",15
"2397","1",15
"2398","1",15
"2399","1",15
"2400","1",1
"2401","1",200
"2402","4",125
"2403","1",110
"2404","1",120
"2405","3",60
"2406","2",140
"2407","1",165
"2408","1",150
"2409","1",165
"2410","1",150
"2411","1",175
"2412","1",165
"2413","1",160
"2414","1",156
"2415","1",175
"2416","1",2
"2417","1",1
"2418","1",80
"2419","1",75
"2420","1",139
"2421","1",80
"2422","1",75
"2423","1",60
"2424","1",30
"2427","1",110
"2428","1",110
"2429","1",100
"2430","1",100
"2431","1",11
"2432","1",11
"2437","1",245
"2438","1",245
"2439","1",245
"2440","1",245
"2441","1",245
"2442","1",245
"2443","1",245
"2444","1",245
"2445","1",245
"2446","1",245
"2447","1",245
"2448","1",238
"2449","1",238
"2450","1",230
"2451","1",230
"2452","1",230
"2453","1",230
"2454","1",230
"2455","1",230
"2456","1",227
"2457","1",227
"2458","1",227
"2459","1",225
"2460","1",225
"2461","1",225
"2462","1",221
"2463","1",221
"2464","1",220
"2465","1",220
"2466","1",220
"2467","1",220
"2468","1",220
"2469","1",220
"2470","1",220
"2471","1",220
"2472","1",214
"2473","1",214
"2474","1",214
"2475","1",214
"2476","1",214
"2477","1",214
"2478","1",214
"2479","1",214
"2480","1",214
"2481","1",214
"2482","1",214
"2483","1",214
"2484","1",237
"2485","1",115
"2486","1",1
"2487","1",1
"2488","1",1
"2489","1",72
"2490","1",225
"2491","2",120
"2492","1",158
"2493","1",210
"2494","1",210
"2495","1",210
"2496","1",80
"2497","1",60
"2498","1",42
"2500","1",110
"2503","1",139
"2504","1",139
"2505","1",139
"2506","1",139
"2512","1",139
"2513","1",139
"2514","1",139
"2518","1",139
"2519","1",139
"2520","1",139
"2521","1",139
"2522","1",139
"2523","1",139
"2527","1",139
"2528","1",139
"2529","1",139
"2530","1",139
"2531","2",139
"2532","2",139
"2533","2",139
"2543","1",233
"2544","1",233
"2545","1",232
"2546","1",232
"2547","1",230
"2548","1",230
"2549","1",224
"2550","1",224
"2551","2",220
"2552","2",220
"2553","1",212
"2554","1",212
"2555","1",210
"2556","1",210
"2557","1",195
"2558","1",195
"2559","1",180
"2560","1",180
"2561","1",260
"2562","1",260
"2563","1",255
"2564","1",255
"2565","1",245
"2566","1",245
"2567","1",241
"2568","1",241
"2569","1",230
"2570","1",230
"2571","1",224
"2572","1",224
"2573","1",20
"2574","1",45
"2575","1",8
"2576","1",139
"2577","2",17
"2578","1",8
"2579","1",8
"2580","1",139
"2581","1",139
"2582","1",105
"2583","1",139
"2584","1",120
"2585","1",50
"2586","2",110
"2587","2",139
"2588","3",1
"2589","3",1
"2590","3",1
"2591","1",115
"2592","1",10
"2593","1",5
"2594","1",3
"2595","1",135
"2596","1",135
"2597","1",110
"2598","1",95
"2599","1",30
"2600","1",1
"2601","1",1
"2602","1",139
"2603","1",20
"2604","4",150
"2605","2",84
"2606","1",25
"2608","1",139
"2609","1",230
"2610","1",230
"2611","1",230
"2612","1",216
"2613","1",125
"2614","3",115
"2615","1",115
"2616","1",115
"2617","1",115
"2618","3",115
"2619","1",99
"2620","2",255
"2621","1",240
"2622","3",139
"2623","3",139
"2624","2",265
"2625","1",250
"2626","1",245
"2627","1",212
"2628","2",200
"2629","3",139
"2630","2",271
"2631","2",270
"2632","2",267
"2633","2",266
"2634","2",262
"2635","2",260
"2636","2",260
"2637","2",260
"2638","2",256
"2639","2",251
"2643","2",243
"2644","3",240
"2651","2",139
"2652","3",139
"2653","1",256
"2654","1",256
"2656","1",281
"2657","1",281
"2658","1",281
"2659","1",281
"2660","1",281
"2661","1",281
"2662","1",281
"2663","1",281
"2665","1",277
"2666","1",277
"2667","1",277
"2668","1",277
"2669","1",277
"2670","1",277
"2671","1",277
"2672","1",277
"2673","1",272
"2674","1",272
"2675","1",272
"2676","1",272
"2677","1",270
"2678","1",270
"2679","1",267
"2680","1",267
"2681","1",267
"2682","1",267
"2683","1",267
"2684","1",267
"2685","1",267
"2686","1",267
"2687","1",266
"2688","1",266
"2689","1",266
"2690","1",266
"2691","1",266
"2692","1",266
"2693","1",266
"2694","1",266
"2695","1",266
"2696","1",266
"2697","1",265
"2698","1",265
"2699","1",265
"2700","1",265
"2701","1",110
"2702","1",244
"2703","1",244
"2704","1",244
"2705","1",244
"2706","1",244
"2707","1",244
"2708","1",244
"2709","1",244
"2710","1",244
"2711","1",231
"2712","1",231
"2713","1",231
"2714","1",230
"2715","1",230
"2716","1",230
"2717","1",230
"2718","1",230
"2719","1",230
"2720","1",230
"2721","1",230
"2722","1",230
"2723","1",227
"2724","1",227
"2725","1",227
"2726","1",225
"2727","1",225
"2728","1",225
"2729","1",225
"2730","1",225
"2731","1",225
"2732","1",114
"2733","1",114
"2734","1",105
"2735","1",105
"2736","1",103
"2737","1",103
"2738","1",103
"2739","1",100
"2740","1",100
"2741","1",100
"2742","1",100
"2743","1",95
"2744","1",95
"2745","1",95
"2746","1",95
"2747","1",91
"2748","1",91
"2749","1",91
"2750","1",91
"2751","1",88
"2752","1",88
"2753","1",88
"2754","1",88
"2755","1",87
"2756","1",87
"2757","1",87
"2758","1",80
"2759","1",80
"2760","1",80
"2761","1",80
"2762","1",139
"2763","1",139
"2764","1",139
"2765","1",90
"2766","1",90
"2767","1",9
"2768","1",115
"2769","1",220
"2770","1",225
"2771","2",60
"2773","1",1
"2777","1",139
"2778","1",110
"2779","1",40
"2780","1",30
"2783","1",160
"2791","1",170
"2792","1",170
"2793","1",170
"2794","1",160
"2795","1",160
"2796","1",160
"2797","1",160
"2798","1",160
"2799","1",160
"2800","1",160
"2801","1",139
"2802","1",139
"2803","1",1
"2804","1",139
"2805","3",1
"2806","1",204
"2807","1",190
"2808","1",190
"2809","1",105
"2810","1",100
"2811","1",80
"2812","1",75
"2813","1",70
"2814","1",68
"2815","1",67
"2816","1",3
"2817","1",139
"2818","2",139
"2819","1",139
"2820","1",139
"2821","1",70
"2822","1",10
"2825","1",20
"2826","1",70
"2827","1",2
"2828","1",139
"2829","1",139
"2830","1",40
"2831","1",25
"2832","1",15
"2833","1",30
"2834","1",8
"2835","1",139
"2836","1",80
"2837","1",80
"2839","1",25
"2840","3",139
"2841","1",186
"2846","1",139
"2847","1",214
"2848","1",214
"2849","1",214
"2850","1",205
"2851","1",205
"2852","1",205
"2856","1",139
"2857","1",139
"2858","1",139
"2859","1",271
"2860","1",271
"2861","1",271
"2862","1",269
"2863","1",269
"2864","1",269
"2865","1",265
"2866","1",264
"2867","1",264
"2868","1",264
"2869","1",262
"2870","1",261
"2871","3",261
"2872","3",261
"2873","3",261
"2874","1",258
"2875","1",258
"2876","1",258
"2877","1",256
"2878","1",255
"2879","1",253
"2880","1",253
"2881","1",253
"2882","1",251
"2883","1",249
"2884","1",247
"2885","1",247
"2886","1",247
"2887","1",236
"2888","1",236
"2889","1",236
"2890","1",231
"2891","1",231
"2892","1",231
"2893","2",228
"2894","2",228
"2895","2",228
"2896","1",228
"2897","1",228
"2898","1",228
"2899","1",226
"2900","1",226
"2901","1",265
"2902","1",265
"2903","1",262
"2904","1",262
"2905","1",262
"2906","1",262
"2907","1",262
"2908","1",262
"2909","1",262
"2910","1",262
"2911","1",262
"2912","1",262
"2913","1",262
"2914","1",262
"2915","1",261
"2916","1",261
"2917","1",261
"2918","1",261
"2919","1",261
"2920","1",261
"2921","1",259
"2922","1",259
"2923","1",259
"2924","1",259
"2925","1",255
"2926","1",255
"2927","1",255
"2928","1",255
"2929","1",254
"2930","1",254
"2931","1",252
"2932","1",252
"2933","1",252
"2934","1",252
"2935","2",252
"2936","2",250
"2937","2",250
"2938","2",250
"2939","2",250
"2942","2",244
"2943","2",244
"2944","2",243
"2945","2",240
"2946","2",240
"2947","2",240
"2948","2",238
"2949","4",236
"2950","3",235
"2951","3",235
"2952","3",235
"2953","2",235
"2954","2",231
"2955","2",230
"2956","1",230
"2957","1",230
"2958","2",230
"2959","1",230
"2960","2",225
"2961","2",220
"2963","1",213
"2964","1",213
"2965","1",210
"2966","1",210
"2967","1",210
"2968","1",210
"2969","1",208
"2970","1",208
"2971","1",208
"2972","1",208
"2973","2",208
"2974","2",208
"2975","2",208
"2976","1",207
"2977","1",205
"2978","1",204
"2979","2",204
"2980","2",204
"2981","2",204
"2982","1",201
"2983","1",201
"2984","1",201
"2985","1",201
"2986","1",200
"2990","1",195
"3001","1",160
"3002","1",160
"3003","1",160
"3004","1",160
"3005","1",160
"3006","1",160
"3007","1",160
"3008","1",160
"3009","1",160
"3010","1",160
"3011","1",160
"3012","1",159
"3013","1",159
"3014","1",159
"3015","1",158
"3016","1",158
"3017","1",158
"3018","1",154
"3019","1",154
"3020","1",154
"3021","1",150
"3022","1",150
"3023","1",150
"3024","1",149
"3025","1",149
"3026","1",149
"3027","1",140
"3028","1",140
"3029","1",140
"3030","1",140
"3031","1",140
"3032","1",140
"3033","1",110
"3034","1",110
"3035","1",15
"3036","1",15
"3037","1",15
"3044","1",112
"3045","1",112
"3046","1",112
"3047","1",112
"3048","1",106
"3049","1",106
"3050","1",100
"3051","1",100
"3052","1",95
"3053","1",95
"3054","1",95
"3055","1",95
"3056","1",95
"3057","1",93
"3058","1",93
"3059","1",88
"3060","1",88
"3061","1",88
"3062","1",88
"3063","1",85
"3064","1",85
"3065","1",85
"3066","1",85
"3067","1",85
"3068","1",80
"3069","1",80
"3070","1",80
"3071","1",80
"3072","1",80
"3073","1",80
"3074","1",139
"3075","1",139
"3076","1",230
"3077","1",230
"3078","1",230
"3079","1",222
"3080","1",220
"3081","1",220
"3082","1",220
"3083","1",220
"3084","1",220
"3085","1",220
"3086","1",217
"3087","1",212
"3088","1",212
"3089","1",100
"3090","1",100
"3091","1",10
"3092","1",34
"3093","1",30
"3094","1",72
"3096","1",115
"3098","1",122
"3099","1",1
"3101","1",226
"3102","4",225
"3103","1",225
"3104","1",225
"3105","2",221
"3106","2",220
"3107","2",220
"3108","2",220
"3109","2",220
"3110","2",220
"3111","2",220
"3112","4",220
"3113","4",220
"3114","4",220
"3115","4",220
"3116","1",220
"3117","1",220
"3118","1",216
"3119","1",216
"3120","1",216
"3121","1",215
"3122","1",215
"3123","1",215
"3124","1",215
"3125","1",215
"3126","1",215
"3127","4",215
"3128","4",215
"3129","1",214
"3130","1",214
"3131","1",214
"3132","2",212
"3133","2",212
"3134","2",212
"3135","1",210
"3136","1",210
"3137","1",210
"3138","1",210
"3139","1",210
"3140","1",210
"3141","1",207
"3142","1",207
"3143","1",207
"3144","1",205
"3145","1",205
"3146","1",205
"3147","1",205
"3148","1",205
"3149","1",205
"3150","1",204
"3151","1",204
"3152","1",204
"3153","4",203
"3154","1",202
"3155","1",202
"3156","1",202
"3157","1",200
"3158","1",200
"3159","1",200
"3160","1",200
"3161","1",200
"3162","1",200
"3163","1",198
"3164","1",198
"3165","1",198
"3166","1",195
"3167","1",195
"3168","1",195
"3169","1",193
"3170","1",193
"3171","1",193
"3172","1",192
"3173","1",192
"3174","1",192
"3175","1",190
"3176","1",190
"3177","1",190
"3190","1",110
"3191","1",110
"3192","4",139
"3193","4",139
"3194","4",139
"3195","4",139
"3196","4",139
"3197","4",139
"3198","4",139
"3199","4",139
"3200","4",139
"3203","1",120
"3204","1",40
"3207","1",168
"3208","1",120
"3209","1",107
"3211","1",116
"3212","1",116
"3213","1",116
"3214","1",116
"3215","1",110
"3216","1",110
"3217","1",106
"3218","1",106
"3219","1",105
"3220","1",105
"3221","1",104
"3222","1",104
"3223","1",100
"3224","1",100
"3225","1",100
"3226","1",100
"3227","1",100
"3228","1",100
"3229","1",95
"3230","1",95
"3231","1",139
"3232","1",139
"3233","1",139
"3234","1",139
"3235","1",139
"3236","1",139
"3237","1",139
"3238","1",139
"3239","1",245
"3240","1",240
"3241","1",235
"3242","1",232
"3243","1",230
"3244","1",225
"3245","1",225
"3246","1",220
"3247","1",115
"3248","1",115
"3249","1",100
"3250","1",100
"3251","1",100
"3252","1",100
"3253","1",100
"3254","1",100
"3255","1",100
"3256","1",100
"3257","1",260
"3258","1",233
"3259","1",230
"3260","1",230
"3261","1",210
"3262","1",210
"3263","1",209
"3264","1",209
"3265","1",209
"3266","1",202
"3267","1",80
"3268","1",80
"3269","1",86
"3270","1",1
"3271","1",72
"3272","1",150
"3273","1",75
"3274","1",170
"3275","1",160
"3276","1",103
"3277","1",90
"3278","1",156
"3279","1",150
"3280","1",180
"3281","1",1
"3282","1",75
"3285","1",139
"3287","1",90
"3288","1",15
"3289","3",11
"3290","1",139
"3291","1",2
"3292","3",139
"3293","1",110
"3294","1",132
"3299","1",150
"3300","1",150
"3315","2",85
"3319","1",139
"3320","1",139
"3321","1",139
"3322","1",139
"3323","3",139
"3324","3",139
"3325","3",139
"3326","2",139
"3327","3",139
"3328","3",139
"3329","3",139
"3330","1",139
"3331","1",139
"3332","1",139
"3333","1",139
"3334","1",139
"3335","1",139
"3336","1",139
"3337","1",139
"3351","2",139
"3352","2",139
"3353","2",139
"3354","1",139
"3355","1",139
"3356","2",139
"3361","2",139
"3363","2",139
"3365","2",139
"3372","2",250
"3373","2",250
"3374","2",230
"3375","2",230
"3376","1",220
"3377","1",220
"3378","3",220
"3379","1",220
"3380","3",220
"3381","1",220
"3382","1",215
"3383","2",215
"3384","1",215
"3385","2",215
"3386","2",210
"3387","2",210
"3388","1",208
"3389","1",208
"3390","2",139
"3391","2",139
"3392","2",139
"3393","2",139
"3394","2",139
"3395","3",139
"3396","3",139
"3397","3",139
"3398","3",139
"3399","3",139
"3400","3",139
"3401","3",139
"3402","3",139
"3403","3",139
"3404","4",139
"3405","4",139
"3406","4",139
"3407","4",139
"3408","4",139
"3409","4",139
"3415","4",139
"3416","4",139
"3417","4",139
"3418","3",139
"3419","1",139
"3420","3",139
"3421","1",139
"3422","3",139
"3423","1",139
"3424","1",105
"3425","1",105
"3426","1",105
"3427","1",105
"3428","3",105
"3429","3",105
"3430","1",105
"3431","1",105
"3432","1",88
"3433","1",88
"3434","1",12
"3435","1",12
"3436","1",12
"3437","1",11
"3438","1",11
"3439","1",11
"3440","1",10
"3441","1",10
"3442","1",10
"3443","1",10
"3444","1",10
"3445","1",10
"3446","1",10
"3447","1",10
"3448","1",10
"3449","1",10
"3450","1",10
"3451","1",10
"3452","1",10
"3453","1",10
"3454","1",10
"3455","1",9
"3456","1",9
"3457","1",9
"3458","1",8
"3459","1",8
"3460","1",8
"3461","1",8
"3462","1",8
"3463","1",8
"3464","1",8
"3465","1",8
"3466","1",8
"3467","1",8
"3468","1",8
"3469","1",8
"3470","1",6
"3471","1",6
"3472","1",6
"3473","1",6
"3474","1",6
"3475","1",6
"3476","1",5
"3477","1",5
"3478","1",5
"3479","1",5
"3480","1",5
"3481","1",5
"3482","1",5
"3483","1",5
"3484","1",5
"3485","1",5
"3486","1",5
"3487","1",5
"3488","1",5
"3489","1",5
"3490","1",5
"3491","1",45
"3492","1",40
"3493","1",30
"3494","1",30
"3495","1",8
"3496","1",8
"3497","1",8
"3498","1",139
"3499","1",139
"3500","1",139
"3501","1",150
"3502","1",225
"3503","1",220
"3504","1",215
"3505","1",215
"3506","1",215
"3507","1",200
"3508","1",230
"3509","1",110
"3510","1",110
"3511","1",103
"3512","1",103
"3513","1",139
"3514","1",139
"3515","1",139
"3516","1",139
"3517","1",108
"3518","1",108
"3519","1",105
"3520","1",105
"3521","1",158
"3522","1",1
"3523","1",1
"3524","1",1
"3525","1",2
"3526","1",160
"3527","1",160
"3528","1",155
"3531","1",85
"3532","1",74
"3533","1",1
"3534","1",170
"3536","1",165
"3537","1",72
"3538","1",139
"3539","1",15
"3540","1",139
"3541","1",50
"3542","1",20
"3543","1",139
"3556","1",110
"3557","1",110
"3558","1",139
"3559","1",139
"3566","1",120
"3567","1",120
"3568","1",105
"3569","1",105
"3570","1",98
"3571","1",98
"3572","1",96
"3573","1",96
"3574","1",96
"3575","1",96
"3576","1",96
"3577","1",96
"3578","1",90
"3579","1",90
"3580","1",90
"3581","1",90
"3582","1",83
"3583","1",83
"3584","1",83
"3585","1",83
"3586","1",83
"3587","1",83
"3588","1",83
"3589","1",83
"3590","1",139
"3591","1",139
"3594","1",252
"3595","1",252
"3596","1",252
"3597","1",252
"3598","1",252
"3599","1",252
"3600","1",252
"3601","3",139
"3602","2",139
"3603","3",139
"3604","3",139
"3605","2",139
"3606","3",139
"3607","3",139
"3608","2",139
"3609","3",139
"3610","3",139
"3617","4",1
"3618","2",1
"3619","1",1
"3620","1",1
"3621","1",1
"3622","1",1
"3623","1",1
"3624","1",85
"3625","1",77
"3626","1",55
"3627","1",15
"3628","1",15
"3629","1",15
"3630","1",15
"3631","1",15
"3632","1",15
"3633","1",5
"3634","1",5
"3635","1",4
"3636","1",120
"3637","1",110
"3638","1",110
"3639","1",40
"3640","1",1
"3641","1",1
"3642","1",139
"3643","1",139
"3644","1",126
"3645","1",120
"3646","1",105
"3647","1",100
"3648","1",100
"3649","1",95
"3650","1",50
"3651","1",50
"3652","1",99
"3653","1",56
"3654","1",1
"3655","1",1
"3656","1",1
"3657","1",1
"3658","1",1
"3659","1",1
"3660","1",1
"3661","1",1
"3662","1",148
"3663","1",139
"3664","1",139
"3665","1",139
"3666","1",139
"3667","1",95
"3668","1",15
